agency_name,city,state,fiscal_year,operating_budget_usd,sworn_officers,source,source_url,retrieved
Anchorage Police,Anchorage,AK,1993,35818680,244,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Anchorage Police,Anchorage,AK,1997,42066847,311,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Anchorage Police,Anchorage,AK,2000,44000000,341,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Birmingham Police,Birmingham,AL,1993,38938166,752,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Birmingham Police,Birmingham,AL,1997,51662302,914,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Birmingham Police,Birmingham,AL,2000,59016943,878,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Huntsville Police,Huntsville,AL,1993,19635355,343,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Huntsville Police,Huntsville,AL,1997,23013180,340,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Huntsville Police,Huntsville,AL,2000,27000000,348,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Mobile Police,Mobile,AL,1993,21798685,432,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
