pid,city,state,year,census_population,ori,agency,fbi_population_covered,population_ratio,months_reported,reporting_system,coverage,violent_crime,property_crime,murder,violent_per_1k,property_per_1k,murder_per_100k,consistency
194463,Anchorage Municipality,AK,2012,298695,AK0010100,Anchorage,299143,1.001,12,SRS,full,2479,10543,15,8.299,35.297,5.02,
194463,Anchorage Municipality,AK,2013,298695,AK0010100,Anchorage,299455,1.003,12,SRS,full,2435,12032,14,8.152,40.282,4.69,
194463,Anchorage Municipality,AK,2014,298695,AK0010100,Anchorage,301306,1.009,12,SRS,full,2605,11531,12,8.721,38.605,4.02,
194463,Anchorage Municipality,AK,2015,298695,AK0010100,Anchorage,301239,1.009,12,SRS,full,3226,11801,26,10.8,39.509,8.7,
194463,Anchorage Municipality,AK,2016,298695,AK0010100,Anchorage,299097,1.001,12,SRS,full,3422,14649,28,11.457,49.043,9.37,
194463,Anchorage Municipality,AK,2017,298695,AK0010100,Anchorage,296188,0.992,12,SRS,full,3780,16041,27,12.655,53.704,9.04,
194463,Anchorage Municipality,AK,2018,298695,AK0010100,Anchorage,291992,0.978,12,SRS,full,3824,14389,26,12.802,48.173,8.7,
194463,Anchorage Municipality,AK,2019,294356,AK0010100,Anchorage,287731,0.977,12,SRS,full,3581,12261,32,12.166,41.654,10.87,
194463,Anchorage Municipality,AK,2020,288000,AK0010100,Anchorage,286388,0.994,12,SRS,full,3472,9872,18,12.056,34.278,6.25,
194463,Anchorage Municipality,AK,2021,288000,AK0010100,Anchorage,,,,,missing,,,,,,,
194463,Anchorage Municipality,AK,2022,287095,AK0010100,Anchorage,285821,0.996,12,converted,full,3291,7900,29,11.463,27.517,10.1,
194463,Anchorage Municipality,AK,2023,288121,AK0010100,Anchorage,285026,0.989,12,converted,full,3022,8243,19,10.489,28.61,6.59,
194463,Anchorage Municipality,AK,2024,287145,AK0010100,Anchorage,286958,0.999,12,converted,full,2917,7937,28,10.159,27.641,9.75,
225038,Birmingham,AL,2012,212461,AL0010200,Birmingham,213266,1.004,12,SRS,full,3237,14788,67,15.236,69.603,31.54,
225038,Birmingham,AL,2013,212461,AL0010200,Birmingham,212001,0.998,12,SRS,full,2852,14157,63,13.424,66.633,29.65,
225038,Birmingham,AL,2014,212461,AL0010200,Birmingham,212115,0.998,12,SRS,full,3369,13929,52,15.857,65.56,24.48,
225038,Birmingham,AL,2015,212461,AL0010200,Birmingham,212291,0.999,12,SRS,full,3707,13499,79,17.448,63.536,37.18,
225038,Birmingham,AL,2016,212461,AL0010200,Birmingham,212549,1.0,12,SRS,full,3420,12470,78,16.097,58.693,36.71,
225038,Birmingham,AL,2017,212461,AL0010200,Birmingham,212178,0.999,10,SRS,partial,2415,8884,59,,,,
