pid,city,state,fiscal_year,runs_schools,county_like_functions,education_pct_general,county_like_pct_general,police_flags,fire_flags,unit_imputed_share,record_complete,fire_external,police_contracted,consolidated_or_independent,note
194805,New York,NY,2022,True,True,30.8,17.3,AR,AR,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; dependent school system inside city books; police/fire contains imputed or analyst-adjusted items"
161174,Los Angeles,CA,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
162236,Chicago,IL,2022,False,True,0.0,3.4,R,R,0.198,True,False,False,False,carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure
176169,Houston,TX,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
207536,Phoenix,AZ,2022,False,False,1.1,0.6,R,R,0.0,True,False,False,False,
133602,Philadelphia,PA,2022,False,True,0.0,5.9,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
175988,San Antonio,TX,2022,False,True,3.2,4.7,R,R,0.0,True,False,False,False,carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure
207598,San Diego,CA,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
187649,Dallas,TX,2022,False,False,0.0,0.5,R,R,0.0,True,False,False,False,
100745,San Jose,CA,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
176394,Austin,TX,2022,False,False,0.0,0.0,I,I,1.0,True,False,False,False,police/fire contains imputed or analyst-adjusted items; majority of unit expenditure imputed (nonrespondent)
183701,Honolulu And County,HI,2022,False,False,0.0,0.6,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
176375,Fort Worth,TX,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
101942,Jacksonville,FL,2022,False,False,0.0,0.2,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
209050,Columbus,OH,2022,False,False,0.5,0.0,R,R,0.0,True,False,False,False,
194726,Charlotte,NC,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
207957,Indianapolis,IN,2022,False,True,0.0,44.5,IR,I,0.884,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; police/fire contains imputed or analyst-adjusted items; majority of unit expenditure imputed (nonrespondent)"
161258,San Francisco And County,CA,2022,False,True,0.0,21.6,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
184255,Seattle,WA,2022,False,True,3.4,5.4,R,R,0.0,True,False,False,False,carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure
165866,Louisville-Jefferson County Metro Government,KY,2022,False,False,3.7,2.5,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
194647,Denver And County,CO,2022,False,True,0.0,7.1,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions"
124214,Washington Dc,DC,2022,True,True,19.0,29.2,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; dependent school system inside city books"
175728,Nashville-Davidson County Metropolitan Government,TN,2022,True,True,35.2,8.6,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; dependent school system inside city books"
128108,Boston,MA,2022,True,True,36.7,6.7,R,R,0.0,True,False,False,False,dependent school system inside city books; carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure
176118,El Paso,TX,2022,False,False,0.0,0.2,R,R,0.0,True,False,False,False,
166817,Detroit,MI,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
169988,Las Vegas,NV,2022,False,True,0.0,5.8,R,R,0.0,True,False,True,False,"carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure; police share under 5%: likely contracts with county sheriff (Census books such purchases as unallocated intergovernmental expenditure, invisible in code 62)"
209170,Oklahoma,OK,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
211254,Portland,OR,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
175826,Memphis,TN,2022,False,False,0.0,0.1,R,R,0.539,True,False,False,False,majority of unit expenditure imputed (nonrespondent)
136562,Milwaukee,WI,2022,False,False,0.0,0.8,R,R,0.0,True,False,False,False,
208246,Baltimore,MD,2022,True,False,38.9,0.1,R,R,0.0,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; dependent school system inside city books"
170378,Albuquerque,NM,2022,False,True,0.0,8.3,R,R,0.0,True,False,False,False,carries county-type functions (corrections/hospital/welfare) above 3% of general expenditure
160840,Tucson,AZ,2022,False,False,0.0,0.0,R,R,0.032,True,False,False,False,
189636,Fresno,CA,2022,False,False,0.0,0.0,R,R,0.002,True,False,False,False,
100250,Mesa,AZ,2022,False,False,0.0,0.0,R,R,0.159,True,False,False,False,
161241,Sacramento,CA,2022,False,False,0.0,0.3,R,R,0.0,True,False,False,False,
194678,Atlanta,GA,2022,False,False,0.0,2.6,R,R,0.0,True,False,False,False,
186236,Kansas,MO,2022,False,False,0.0,0.3,R,R,0.0,True,False,False,False,
161362,Colorado Springs,CO,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
208698,Omaha,NE,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
171305,Raleigh,NC,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
194757,Miami,FL,2022,False,False,0.0,1.1,R,R,0.0,True,False,False,False,
161173,Long Beach,CA,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
202751,Virginia Beach,VA,2022,True,True,45.0,5.3,R,R,0.001,True,False,False,True,"consolidated city-county, city-parish, or independent city: carries county-type functions; dependent school system inside city books"
193551,Minneapolis,MN,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
123093,Oakland,CA,2022,False,False,0.0,0.2,R,R,0.04,True,False,False,False,
161633,Tampa,FL,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
212090,Tulsa,OK,2022,False,False,0.0,2.8,R,R,0.0,True,False,False,False,
194811,Arlington,TX,2022,False,False,0.0,0.0,R,R,0.0,True,False,False,False,
201810,Wichita,KS,2022,False,False,0.0,0.1,R,R,0.0,True,False,False,False,
