place_geoid,city,state,fiscal_year,population,police_usd,fire_usd,general_expenditure_usd,total_expenditure_usd,police_pct_general,fire_pct_general,police_fire_pct_general,police_flags,fire_flags,record_complete,source,police_real_usd,fire_real_usd,police_real_per_resident,fire_real_per_resident,police_fire_real_per_resident,police_fire_real_rpp_per_resident,real_dollar_base_year
4801000,Abilene,TX,1983,104302,5027000,4431000,32635000,41347000,15.4,13.58,28.98,,,True,willamette_gfd (no imputation flags published),16771062,14782688,160.79,141.73,302.52,,2025
4801000,Abilene,TX,1984,104302,5630000,4259000,42353000,55864000,13.29,10.06,23.35,,,True,willamette_gfd (no imputation flags published),18198184,13766619,174.48,131.99,306.46,,2025
4801000,Abilene,TX,1985,108157,5630000,4259000,42353000,55864000,13.29,10.06,23.35,,,True,willamette_gfd (no imputation flags published),17445035,13196874,161.29,122.02,283.31,,2025
4801000,Abilene,TX,1986,112433,6524000,6241000,47091000,57706000,13.85,13.25,27.11,,,True,willamette_gfd (no imputation flags published),19520038,18673292,173.61,166.08,339.7,,2025
4801000,Abilene,TX,1987,112433,6612000,5181000,44762000,54594000,14.77,11.57,26.35,,,True,willamette_gfd (no imputation flags published),19422328,15218857,172.75,135.36,308.11,,2025
4801000,Abilene,TX,1988,112433,6409000,5461000,45191000,52816000,14.18,12.08,26.27,,,True,willamette_gfd (no imputation flags published),18163140,15476503,161.55,137.65,299.2,,2025
4801000,Abilene,TX,1989,109110,7223000,5140000,54410000,62609000,13.28,9.45,22.72,,,True,willamette_gfd (no imputation flags published),19656756,13988056,180.16,128.2,308.36,,2025
4801000,Abilene,TX,1990,109110,9290000,5573000,55284000,64464000,16.8,10.08,26.88,,,True,willamette_gfd (no imputation flags published),24119762,14469261,221.06,132.61,353.67,,2025
4801000,Abilene,TX,1991,106654,7374000,5739000,62401000,75514000,11.82,9.2,21.01,,,True,willamette_gfd (no imputation flags published),18163793,14136426,170.31,132.54,302.85,,2025
4801000,Abilene,TX,1992,106654,7803000,6022000,55210000,66011000,14.13,10.91,25.04,,,True,willamette_gfd (no imputation flags published),18444356,14234514,172.94,133.46,306.4,,2025
4801000,Abilene,TX,1993,106654,8235000,6248000,49088000,59752000,16.78,12.73,29.5,,,True,willamette_gfd (no imputation flags published),18896654,14337134,177.18,134.43,311.6,,2025
4801000,Abilene,TX,1994,108095,8756000,6550000,48371000,60748000,18.1,13.54,31.64,,,True,willamette_gfd (no imputation flags published),19508186,14593264,180.47,135.0,315.48,,2025
4801000,Abilene,TX,1995,110034,9282000,7757000,59991000,73269000,15.47,12.93,28.4,,,True,willamette_gfd (no imputation flags published),20163798,16850957,183.25,153.14,336.39,,2025
4801000,Abilene,TX,1996,108476,9771000,7399000,59140000,80022000,16.52,12.51,29.03,,,True,willamette_gfd (no imputation flags published),20641109,15630290,190.28,144.09,334.37,,2025
4801000,Abilene,TX,1997,108476,10680000,8268000,65533000,88788000,16.3,12.62,28.91,,,True,willamette_gfd (no imputation flags published),21914285,16965103,202.02,156.39,358.41,,2025
4801000,Abilene,TX,1998,108476,10871000,8468000,64732000,75845000,16.79,13.08,29.88,,,True,willamette_gfd (no imputation flags published),21805871,16985753,201.02,156.59,357.61,,2025
4801000,Abilene,TX,1999,108257,11694000,8690000,67440000,80910000,17.34,12.89,30.23,,,True,willamette_gfd (no imputation flags published),23096941,17163710,213.35,158.55,371.9,,2025
4801000,Abilene,TX,2000,115930,12532000,9100000,71950000,85678000,17.42,12.65,30.07,,,True,willamette_gfd (no imputation flags published),24217225,17585122,208.9,151.69,360.58,,2025
4801000,Abilene,TX,2001,115930,13571000,8882000,77375000,96048000,17.54,11.48,29.02,,,True,willamette_gfd (no imputation flags published),25372175,16605678,218.86,143.24,362.1,,2025
4801000,Abilene,TX,2002,115930,13801000,9350000,85345000,103102000,16.17,10.96,27.13,,,True,willamette_gfd (no imputation flags published),25088285,16996991,216.41,146.61,363.02,,2025
4801000,Abilene,TX,2003,115225,14338000,10388000,98596000,143192000,14.54,10.54,25.08,,,True,willamette_gfd (no imputation flags published),25658803,18590016,222.68,161.34,384.02,,2025
4801000,Abilene,TX,2004,115225,14178000,11050000,98885000,135105000,14.34,11.17,25.51,,,True,willamette_gfd (no imputation flags published),24807108,19334077,215.29,167.79,383.09,,2025
4801000,Abilene,TX,2005,114757,16298000,10205000,87397000,110643000,18.65,11.68,30.32,,,True,willamette_gfd (no imputation flags published),27776744,17392421,242.05,151.56,393.61,,2025
4801000,Abilene,TX,2006,114757,16485000,11786000,92368000,116324000,17.85,12.76,30.61,,,True,willamette_gfd (no imputation flags published),27174759,19428675,236.8,169.3,406.11,,2025
