pid,census_raw_id,city,state,fips_place,fiscal_year,population,population_year,full_census_year,total_expenditure_usd,general_expenditure_usd,direct_general_expenditure_usd,general_ex_education_usd,education_usd,county_like_functions_usd,police_usd,police_current_ops_usd,police_capital_usd,fire_usd,fire_current_ops_usd,fire_capital_usd,police_intergov_usd,fire_intergov_usd,enterprise_usd,health_usd,core_municipal_expenditure_usd,police_flags,fire_flags,unit_imputed_share,n_items,record_complete,police_pct_general,police_pct_total,police_pct_general_ex_edu,police_pct_core,fire_pct_general,fire_pct_total,fire_pct_general_ex_edu,fire_pct_core,police_fire_pct_general,police_fire_pct_total,police_fire_pct_general_ex_edu,police_fire_pct_core
194805,362061194805,New York,NY,51000,2022,8253213,2022,True,141420548000,128472440000,120100243000,88932990000,39539450000,22224457000,5867693000,5726358000,141335000,2572675000,2475973000,96702000,0,0,0,2132606000,64575927000,AR,AR,0.0,94,True,4.57,4.15,6.6,9.09,2.0,1.82,2.89,3.98,6.57,5.97,9.49,13.07
161174,062037161174,Los Angeles,CA,44000,2022,3970219,2022,True,20821985000,14018584000,13740201000,14018584000,0,1073000,2972025000,2913863000,58162000,810245000,788225000,22020000,0,0,2108331000,458506000,11450674000,R,R,0.0,78,True,21.2,14.27,21.2,25.96,5.78,3.89,5.78,7.08,26.98,18.16,26.98,33.03
162236,172031162236,Chicago,IL,14000,2022,2677643,2022,True,12203210000,11685582000,11685582000,11685582000,0,392496000,1656603000,1646054000,10549000,671018000,659287000,11731000,0,0,1596145000,364581000,9332360000,R,R,0.198,75,True,14.18,13.58,14.18,17.75,5.74,5.5,5.74,7.19,19.92,19.07,19.92,24.94
176169,482201176169,Houston,TX,35000,2022,2316120,2022,True,5869033000,5328529000,5289005000,5328529000,0,0,980472000,957226000,23246000,517026000,496293000,20733000,0,0,588807000,238978000,4500744000,R,R,0.0,73,True,18.4,16.71,18.4,21.78,9.7,8.81,9.7,11.49,28.1,25.52,28.1,33.27
207536,042013207536,Phoenix,AZ,55000,2022,1708127,2022,True,4083135000,3015954000,3007113000,2981899000,34055000,18964000,547806000,529845000,17961000,361015000,329538000,31477000,0,0,610572000,2327000,2350036000,R,R,0.0,79,True,18.16,13.42,18.37,23.31,11.97,8.84,12.11,15.36,30.13,22.26,30.48,38.67
133602,422101133602,Philadelphia,PA,60000,2022,1578487,2022,True,10597763000,9671443000,9281711000,9671443000,0,575403000,783933000,776684000,7249000,344950000,343110000,1840000,0,0,402161000,2206934000,6486945000,R,R,0.0,69,True,8.11,7.4,8.11,12.08,3.57,3.25,3.57,5.32,11.67,10.65,11.67,17.4
175988,482029175988,San Antonio,TX,65000,2022,1567118,2022,True,6226473000,2950103000,2950045000,2857050000,93053000,137873000,492530000,490462000,2068000,342986000,340364000,2622000,0,0,83751000,83376000,2552050000,R,R,0.0,92,True,16.7,7.91,17.24,19.3,11.63,5.51,12.0,13.44,28.32,13.42,29.24,32.74
207598,062073207598,San Diego,CA,66000,2022,1422420,2022,True,5172166000,4496818000,4496818000,4496818000,0,0,629133000,613945000,15188000,323179000,323179000,0,0,0,6190000,16835000,4473793000,R,R,0.0,58,True,13.99,12.16,13.99,14.06,7.19,6.25,7.19,7.22,21.18,18.41,21.18,21.29
187649,482113187649,Dallas,TX,19000,2022,1343266,2022,True,4600332000,4203246000,4186163000,4203246000,0,22609000,593912000,589799000,4113000,386707000,361569000,25138000,0,0,1227442000,41490000,2911705000,R,R,0.0,81,True,14.13,12.91,14.13,20.4,9.2,8.41,9.2,13.28,23.33,21.32,23.33,33.68
100745,062085100745,San Jose,CA,68000,2022,1013616,2022,True,2813389000,2429811000,2429811000,2429811000,0,0,510819000,471752000,39067000,259968000,259968000,0,0,0,127041000,200000,2302570000,R,R,0.0,54,True,21.02,18.16,21.02,22.18,10.7,9.24,10.7,11.29,31.72,27.4,31.72,33.48
