pid,census_raw_id,city,state,fips_place,fiscal_year,population,population_year,full_census_year,total_expenditure_usd,general_expenditure_usd,direct_general_expenditure_usd,general_ex_education_usd,education_usd,county_like_functions_usd,police_usd,police_current_ops_usd,police_capital_usd,fire_usd,fire_current_ops_usd,fire_capital_usd,police_intergov_usd,fire_intergov_usd,enterprise_usd,health_usd,core_municipal_expenditure_usd,police_flags,fire_flags,unit_imputed_share,n_items,record_complete,police_pct_general,police_pct_total,police_pct_general_ex_edu,police_pct_core,fire_pct_general,fire_pct_total,fire_pct_general_ex_edu,fire_pct_core,police_fire_pct_general,police_fire_pct_total,police_fire_pct_general_ex_edu,police_fire_pct_core
100091,01205100100000,Montgomery,AL,51000,2012,200602,2016,True,223512000,218227000,209381000,218227000,0,0,43617000,43617000,0,31842000,31842000,0,0,0,0,0,218227000,R,R,0.0,63,True,19.99,19.51,19.99,19.99,14.59,14.25,14.59,14.59,34.58,33.76,34.58,34.58
100249,03200700300000,Chandler,AZ,12000,2012,260828,2016,True,307146000,266641000,266641000,266641000,0,0,58144000,56322000,1822000,26242000,26242000,0,0,0,1942000,0,264699000,R,R,0.0,53,True,21.81,18.93,21.81,21.97,9.84,8.54,9.84,9.91,31.65,27.47,31.65,31.88
100250,03200700800000,Mesa,AZ,46000,2012,471825,2016,True,781905000,601217000,601217000,601217000,0,3490000,157487000,149789000,7698000,76111000,62353000,13758000,0,0,8590000,0,589137000,R,R,0.0,92,True,26.19,20.14,26.19,26.73,12.66,9.73,12.66,12.92,38.85,29.88,38.85,39.65
100251,03200750200000,Surprise,AZ,71510,2012,128422,2016,True,121649000,106848000,106848000,106848000,0,0,20310000,20310000,0,10152000,10152000,0,0,0,0,0,106848000,R,I,0.153,46,True,19.01,16.7,19.01,19.01,9.5,8.35,9.5,9.5,28.51,25.04,28.51,28.51
100435,04206000400000,Little Rock,AR,41000,2012,197992,2016,True,369844000,357571000,357571000,357571000,0,0,55425000,55102000,323000,39865000,39863000,2000,0,0,39090000,21310000,297171000,R,R,0.0,85,True,15.5,14.99,15.5,18.65,11.15,10.78,11.15,13.41,26.65,25.76,26.65,32.07
100689,05201904800000,West Covina,CA,84200,2012,108484,2016,True,93401000,91871000,91871000,91871000,0,0,29082000,28439000,643000,16366000,16359000,7000,0,0,0,2363000,89508000,R,R,0.0,54,True,31.66,31.14,31.66,32.49,17.81,17.52,17.81,18.28,49.47,48.66,49.47,50.78
100709,05203000900000,Huntington Beach,CA,36000,2012,201899,2016,True,282772000,244968000,244968000,244968000,0,0,70807000,70807000,0,33714000,33167000,547000,0,0,546000,4627000,239795000,R,R,0.0,68,True,28.9,25.04,28.9,29.53,13.76,11.92,13.76,14.06,42.67,36.96,42.67,43.59
100711,05203001600000,Santa Ana,CA,69000,2012,335400,2016,True,442530000,391762000,391762000,391762000,0,0,118581000,118485000,96000,53253000,53007000,246000,0,0,0,11473000,380289000,R,R,0.0,71,True,30.27,26.8,30.27,31.18,13.59,12.03,13.59,14.0,43.86,38.83,43.86,45.19
100719,05203320100000,Murrieta,CA,50076,2012,109830,2016,True,83136000,83136000,83127000,83136000,0,0,24440000,22788000,1652000,0,0,0,0,0,0,0,83136000,R,-,0.0,52,True,29.4,29.4,29.4,29.4,0.0,0.0,0.0,0.0,29.4,29.4,29.4,29.4
100745,05204301200000,San Jose,CA,68000,2012,1026908,2016,True,1451627000,1409190000,1390508000,1409190000,0,0,251179000,216928000,34251000,122185000,113368000,8817000,0,0,91135000,1835000,1316220000,R,R,0.0,99,True,17.82,17.3,17.82,19.08,8.67,8.42,8.67,9.28,26.49,25.72,26.49,28.37
