pid,city,state,rank,peer_pid,peer_city,peer_state,distance,structure_mismatches,size_component,price_component,population,peer_population,rpp_2022,peer_rpp_2022,group_quality
194805,New York,NY,1,124214,Washington Dc,DC,3.711,,3.533,0.178,8253213,712816,112.987,111.207,weak
194805,New York,NY,2,161174,Los Angeles,CA,5.088,consolidated_or_independent|runs_schools|county_like_functions,1.056,0.032,8253213,3970219,112.987,113.308,weak
194805,New York,NY,3,133602,Philadelphia,PA,5.111,runs_schools,2.386,1.225,8253213,1578487,112.987,100.74,weak
194805,New York,NY,4,128108,Boston,MA,5.157,consolidated_or_independent,3.577,0.08,8253213,691531,112.987,112.187,weak
194805,New York,NY,5,175728,Nashville-Davidson County Metropolitan Government,TN,5.216,,3.572,1.644,8253213,694176,112.987,96.542,weak
194805,New York,NY,6,161258,San Francisco And County,CA,5.253,runs_schools,3.252,0.502,8253213,866606,112.987,118.003,weak
194805,New York,NY,7,162236,Chicago,IL,5.352,consolidated_or_independent|runs_schools,1.624,0.728,8253213,2677643,112.987,105.706,weak
194805,New York,NY,8,194647,Denver And County,CO,5.553,runs_schools,3.488,0.565,8253213,735538,112.987,107.334,weak
161174,Los Angeles,CA,1,207598,San Diego,CA,1.613,,1.481,0.132,3970219,1422420,113.308,114.63,loose
161174,Los Angeles,CA,2,207536,Phoenix,AZ,2.159,,1.217,0.942,3970219,1708127,113.308,103.884,loose
161174,Los Angeles,CA,3,100745,San Jose,CA,2.167,,1.97,0.197,3970219,1013616,113.308,115.281,loose
161174,Los Angeles,CA,4,176169,Houston,TX,2.231,,0.778,1.454,3970219,2316120,113.308,98.772,loose
161174,Los Angeles,CA,5,162236,Chicago,IL,2.328,county_like_functions,0.568,0.76,3970219,2677643,113.308,105.706,loose
161174,Los Angeles,CA,6,187649,Dallas,TX,2.553,,1.563,0.99,3970219,1343266,113.308,103.412,loose
161174,Los Angeles,CA,7,211254,Portland,OR,3.043,,2.596,0.448,3970219,656751,113.308,108.833,loose
161174,Los Angeles,CA,8,176375,Fort Worth,TX,3.087,,2.097,0.99,3970219,927720,113.308,103.412,loose
162236,Chicago,IL,1,207536,Phoenix,AZ,1.831,county_like_functions,0.649,0.182,2677643,1708127,105.706,103.884,loose
162236,Chicago,IL,2,175988,San Antonio,TX,1.843,,0.773,1.07,2677643,1567118,105.706,95.006,loose
162236,Chicago,IL,3,176169,Houston,TX,1.903,county_like_functions,0.209,0.693,2677643,2316120,105.706,98.772,loose
162236,Chicago,IL,4,187649,Dallas,TX,2.225,county_like_functions,0.995,0.229,2677643,1343266,105.706,103.412,loose
162236,Chicago,IL,5,161174,Los Angeles,CA,2.328,county_like_functions,0.568,0.76,2677643,3970219,105.706,113.308,loose
162236,Chicago,IL,6,184255,Seattle,WA,2.63,,1.799,0.831,2677643,769714,105.706,114.02,loose
162236,Chicago,IL,7,176375,Fort Worth,TX,2.759,county_like_functions,1.529,0.229,2677643,927720,105.706,103.412,loose
162236,Chicago,IL,8,133602,Philadelphia,PA,2.759,consolidated_or_independent,0.762,0.497,2677643,1578487,105.706,100.74,loose
176169,Houston,TX,1,207536,Phoenix,AZ,0.95,,0.439,0.511,2316120,1708127,98.772,103.884,loose
176169,Houston,TX,2,176394,Austin,TX,1.222,,1.218,0.004,2316120,995484,98.772,98.81,loose
176169,Houston,TX,3,187649,Dallas,TX,1.25,,0.786,0.464,2316120,1343266,98.772,103.412,loose
176169,Houston,TX,4,194726,Charlotte,NC,1.562,,1.363,0.198,2316120,900350,98.772,96.787,loose
176169,Houston,TX,5,176375,Fort Worth,TX,1.784,,1.32,0.464,2316120,927720,98.772,103.412,loose
176169,Houston,TX,6,209050,Columbus,OH,1.825,,1.358,0.468,2316120,903852,98.772,94.093,loose
176169,Houston,TX,7,162236,Chicago,IL,1.903,county_like_functions,0.209,0.693,2316120,2677643,98.772,105.706,loose
176169,Houston,TX,8,175988,San Antonio,TX,1.94,county_like_functions,0.564,0.377,2316120,1567118,98.772,95.006,loose
207536,Phoenix,AZ,1,187649,Dallas,TX,0.394,,0.347,0.047,1708127,1343266,103.884,103.412,close
207536,Phoenix,AZ,2,176375,Fort Worth,TX,0.928,,0.881,0.047,1708127,927720,103.884,103.412,close
207536,Phoenix,AZ,3,176169,Houston,TX,0.95,,0.439,0.511,1708127,2316120,103.884,98.772,close
207536,Phoenix,AZ,4,176394,Austin,TX,1.286,,0.779,0.507,1708127,995484,103.884,98.81,close
207536,Phoenix,AZ,5,207598,San Diego,CA,1.339,,0.264,1.075,1708127,1422420,103.884,114.63,close
207536,Phoenix,AZ,6,194726,Charlotte,NC,1.634,,0.924,0.71,1708127,900350,103.884,96.787,close
207536,Phoenix,AZ,7,100250,Mesa,AZ,1.693,,1.693,0.0,1708127,528159,103.884,103.884,close
207536,Phoenix,AZ,8,189636,Fresno,CA,1.789,,1.688,0.101,1708127,530267,103.884,104.894,close
133602,Philadelphia,PA,1,207957,Indianapolis,IN,1.54,,0.846,0.693,1578487,877903,100.74,93.805,loose
133602,Philadelphia,PA,2,194647,Denver And County,CO,1.761,,1.102,0.659,1578487,735538,100.74,107.334,loose
133602,Philadelphia,PA,3,101942,Jacksonville,FL,2.003,county_like_functions,0.778,0.225,1578487,920570,100.74,98.492,loose
133602,Philadelphia,PA,4,175988,San Antonio,TX,2.084,consolidated_or_independent,0.01,0.573,1578487,1567118,100.74,95.006,loose
133602,Philadelphia,PA,5,161258,San Francisco And County,CA,2.591,,0.865,1.726,1578487,866606,100.74,118.003,loose
133602,Philadelphia,PA,6,166094,New Orleans,LA,2.719,,2.019,0.7,1578487,389476,100.74,93.738,loose
133602,Philadelphia,PA,7,162236,Chicago,IL,2.759,consolidated_or_independent,0.762,0.497,1578487,2677643,100.74,105.706,loose
133602,Philadelphia,PA,8,169159,St Louis,MO,2.826,,2.407,0.419,1578487,297645,100.74,96.553,loose
175988,San Antonio,TX,1,170378,Albuquerque,NM,1.641,,1.478,0.163,1567118,562540,95.006,93.375,loose
