calendar_year,cpi_u_annual_avg,series,source
1966,32.4,CUUR0000SA0,BLS Public Data API v2
1967,33.4,CUUR0000SA0,BLS Public Data API v2
1968,34.8,CUUR0000SA0,BLS Public Data API v2
1969,36.7,CUUR0000SA0,BLS Public Data API v2
1970,38.8,CUUR0000SA0,BLS Public Data API v2
1971,40.5,CUUR0000SA0,BLS Public Data API v2
1972,41.8,CUUR0000SA0,BLS Public Data API v2
1973,44.4,CUUR0000SA0,BLS Public Data API v2
1974,49.3,CUUR0000SA0,BLS Public Data API v2
1975,53.8,CUUR0000SA0,BLS Public Data API v2
1976,56.9,CUUR0000SA0,BLS Public Data API v2
1977,60.6,CUUR0000SA0,BLS Public Data API v2
1978,65.2,CUUR0000SA0,BLS Public Data API v2
1979,72.6,CUUR0000SA0,BLS Public Data API v2
1980,82.4,CUUR0000SA0,BLS Public Data API v2
1981,90.9,CUUR0000SA0,BLS Public Data API v2
1982,96.5,CUUR0000SA0,BLS Public Data API v2
1983,99.6,CUUR0000SA0,BLS Public Data API v2
1984,103.9,CUUR0000SA0,BLS Public Data API v2
1985,107.6,CUUR0000SA0,BLS Public Data API v2
1986,109.6,CUUR0000SA0,BLS Public Data API v2
1987,113.6,CUUR0000SA0,BLS Public Data API v2
1988,118.3,CUUR0000SA0,BLS Public Data API v2
1989,124.0,CUUR0000SA0,BLS Public Data API v2
1990,130.7,CUUR0000SA0,BLS Public Data API v2
1991,136.2,CUUR0000SA0,BLS Public Data API v2
1992,140.3,CUUR0000SA0,BLS Public Data API v2
1993,144.5,CUUR0000SA0,BLS Public Data API v2
1994,148.2,CUUR0000SA0,BLS Public Data API v2
1995,152.4,CUUR0000SA0,BLS Public Data API v2
1996,156.9,CUUR0000SA0,BLS Public Data API v2
1997,160.5,CUUR0000SA0,BLS Public Data API v2
1998,163.0,CUUR0000SA0,BLS Public Data API v2
1999,166.6,CUUR0000SA0,BLS Public Data API v2
2000,172.2,CUUR0000SA0,BLS Public Data API v2
2001,177.1,CUUR0000SA0,BLS Public Data API v2
2002,179.9,CUUR0000SA0,BLS Public Data API v2
2003,184.0,CUUR0000SA0,BLS Public Data API v2
2004,188.9,CUUR0000SA0,BLS Public Data API v2
2005,195.3,CUUR0000SA0,BLS Public Data API v2
2006,201.6,CUUR0000SA0,BLS Public Data API v2
2007,207.342,CUUR0000SA0,BLS Public Data API v2
2008,215.303,CUUR0000SA0,BLS Public Data API v2
2009,214.537,CUUR0000SA0,BLS Public Data API v2
2010,218.056,CUUR0000SA0,BLS Public Data API v2
2011,224.939,CUUR0000SA0,BLS Public Data API v2
2012,229.594,CUUR0000SA0,BLS Public Data API v2
2013,232.957,CUUR0000SA0,BLS Public Data API v2
2014,236.736,CUUR0000SA0,BLS Public Data API v2
2015,237.017,CUUR0000SA0,BLS Public Data API v2
2016,240.007,CUUR0000SA0,BLS Public Data API v2
2017,245.12,CUUR0000SA0,BLS Public Data API v2
2018,251.107,CUUR0000SA0,BLS Public Data API v2
2019,255.657,CUUR0000SA0,BLS Public Data API v2
2020,258.811,CUUR0000SA0,BLS Public Data API v2
2021,270.97,CUUR0000SA0,BLS Public Data API v2
2022,292.655,CUUR0000SA0,BLS Public Data API v2
2023,304.702,CUUR0000SA0,BLS Public Data API v2
2024,313.689,CUUR0000SA0,BLS Public Data API v2
2025,321.943,CUUR0000SA0,BLS Public Data API v2
