ori,agency_name,city,state,year,population_covered,months_reported,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,reporting_system,source_file,retrieved
AK0010100,Anchorage,Anchorage,AK,2012,299143,12,2479,15,303,488,1673,10543,1158,8554,831,SRS,RETA12.DAT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2013,299455,12,2435,14,408,522,1491,12032,1318,9845,869,SRS,RETURNA2013.TXT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2014,301306,12,2605,12,392,496,1705,11531,1375,9217,939,SRS,RETA14.DAT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2015,301239,12,3226,26,517,621,2062,11801,1685,8962,1154,SRS,RETA-COMB.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2016,299097,12,3422,28,542,695,2157,14649,2008,10599,2042,SRS,RETA2016.TXT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2017,296188,12,3780,27,607,778,2368,16041,2216,10721,3104,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2018,291992,12,3824,26,613,717,2468,14389,2068,9498,2823,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2019,287731,12,3581,32,540,621,2388,12261,1692,9038,1531,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2020,286388,12,3472,18,558,558,2338,9872,1444,7279,1149,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2021,286238,,,,,,,,,,,,reta-2021.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2022,285821,12,3291,29,492,436,2334,7900,1179,5605,1116,converted,reta-2022.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2023,285026,12,3022,19,427,461,2115,8243,953,6078,1212,converted,reta-2023.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2024,286958,12,2917,28,462,479,1948,7937,910,5813,1214,converted,reta-2024.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2012,213266,12,3237,67,152,983,2035,14788,4704,9042,1042,SRS,RETA12.DAT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2013,212001,12,2852,63,178,969,1642,14157,4018,8661,1478,SRS,RETURNA2013.TXT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2014,212115,12,3369,52,182,1051,2084,13929,3750,8743,1436,SRS,RETA14.DAT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2015,212291,12,3707,79,159,1114,2355,13499,3146,8838,1515,SRS,RETA-COMB.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2016,212549,12,3420,78,150,947,2245,12470,2792,8161,1517,SRS,RETA2016.TXT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2017,212178,10,2415,59,120,611,1625,8884,1744,6026,1114,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2018,210564,12,4025,88,180,941,2816,13295,2555,8988,1752,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2019,209649,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2020,209081,12,866,35,22,158,651,2985,535,2037,413,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2021,206476,12,3138,93,63,410,2572,7426,1409,4442,1575,converted,reta-2021.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2022,195050,12,3306,143,66,488,2609,8292,1539,4925,1828,converted,reta-2022.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2023,195224,12,3032,122,40,454,2416,9001,1410,5452,2139,converted,reta-2023.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2024,195418,12,2491,116,31,399,1945,8154,1467,5046,1641,converted,reta-2024.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2012,82332,12,86,2,13,46,25,2182,393,1704,85,SRS,RETA12.DAT,2026-09-15
AL0011200,Hoover,Hoover,AL,2013,84139,12,74,2,9,34,29,2595,344,2143,108,SRS,RETURNA2013.TXT,2026-09-15
AL0011200,Hoover,Hoover,AL,2014,84843,12,98,1,15,50,32,2259,270,1910,79,SRS,RETA14.DAT,2026-09-15
AL0011200,Hoover,Hoover,AL,2015,85163,12,129,3,23,51,52,2462,302,2087,73,SRS,RETA-COMB.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2016,85601,12,104,3,19,40,42,1162,203,878,81,SRS,RETA2016.TXT,2026-09-15
AL0011200,Hoover,Hoover,AL,2017,85634,12,84,2,19,33,30,1000,214,721,65,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2018,85521,12,63,2,20,22,19,1190,161,971,58,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2019,85670,12,118,4,18,27,69,1931,129,1701,101,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2020,86321,12,84,6,8,19,51,1478,123,1268,87,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2021,86514,12,127,1,17,27,82,1564,164,1298,102,converted,reta-2021.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2022,92491,12,91,2,17,13,59,1473,114,1276,83,converted,reta-2022.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2023,92296,12,72,0,10,8,54,1332,94,1140,98,converted,reta-2023.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2024,92352,12,72,3,9,9,51,1174,72,1040,62,converted,reta-2024.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2012,251516,12,1314,32,45,460,777,12103,2796,8755,552,SRS,RETA12.DAT,2026-09-15
AL0020100,Mobile,Mobile,AL,2013,250557,12,1541,29,88,459,965,13011,3207,9123,681,SRS,RETURNA2013.TXT,2026-09-15
AL0020100,Mobile,Mobile,AL,2014,250655,12,1488,31,136,428,893,11603,2847,8225,531,SRS,RETA14.DAT,2026-09-15
AL0020100,Mobile,Mobile,AL,2015,250346,12,1529,24,116,402,987,10794,2208,7977,609,SRS,RETA-COMB.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2016,249921,12,1709,44,89,438,1138,11769,2628,8261,880,SRS,RETA2016.TXT,2026-09-15
AL0020100,Mobile,Mobile,AL,2017,248431,12,1839,50,142,440,1207,13549,3023,9267,1259,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2018,245475,12,1613,26,168,378,1041,12094,2568,8442,1084,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2019,244775,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2020,243900,12,337,9,43,49,236,2283,409,1647,227,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2021,242894,12,2495,48,127,186,2134,7055,1282,5114,659,converted,reta-2021.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2022,239323,12,2273,42,127,139,1965,7243,1069,5554,620,converted,reta-2022.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2023,237469,12,2118,30,85,150,1853,5924,882,4469,573,converted,reta-2023.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2024,237092,12,1765,39,48,125,1553,3979,740,2836,403,converted,reta-2024.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2012,209018,12,827,44,41,459,283,12058,3409,7548,1101,SRS,RETA12.DAT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2013,205087,12,833,3,38,321,471,8262,1826,5570,866,SRS,RETURNA2013.TXT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2014,200194,12,1046,35,35,450,526,9025,2548,5817,660,SRS,RETA14.DAT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2015,199139,12,1042,33,40,391,578,8363,2342,5280,741,SRS,RETA-COMB.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2016,199565,12,1215,30,62,448,675,8989,2293,5824,872,SRS,RETA2016.TXT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2017,199099,12,1277,38,52,346,841,8800,2129,5827,844,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2018,198662,12,1216,29,39,391,757,8480,2052,5456,972,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2019,197315,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2020,197755,12,522,18,9,141,354,2639,562,1776,301,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2021,195361,12,9,1,0,1,7,19,5,6,8,converted,reta-2021.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2022,197333,12,22,6,0,1,15,50,7,30,13,converted,reta-2022.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2023,195484,12,261,9,6,72,174,1067,304,569,194,converted,reta-2023.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2024,193728,12,1168,37,16,376,739,4368,1030,2620,718,converted,reta-2024.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2012,183691,12,1696,14,72,456,1154,9261,2165,6386,710,SRS,RETA12.DAT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2013,184738,12,1507,24,87,391,1005,9216,1884,6629,703,SRS,RETURNA2013.TXT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2014,187624,12,1467,15,104,390,958,9161,1912,6521,728,SRS,RETA14.DAT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2015,190106,12,1541,18,132,368,1023,8743,1761,6219,763,SRS,RETA-COMB.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2016,192587,12,1787,18,152,414,1203,9398,1692,6812,894,SRS,RETA2016.TXT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2017,195173,12,1766,22,172,360,1212,9232,1428,6758,1046,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2018,196620,12,1423,28,149,300,946,8244,1262,5961,1021,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2019,199465,06,872,12,79,159,622,3854,554,2804,496,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
