city,state,fiscal_year,view,population,police_usd,fire_usd,total_expenditure_usd,general_expenditure_usd,source_url,retrieved
Anchorage,AK,2012,city_only,296693,123925565,90762795,1510171381,1234531844,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2012,fisc,296693,123925565,90762795,1510171381,1234531844,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2017,city_only,298072,132306942,114613104,1782279561,1395348236,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2017,fisc,298072,132306942,114613104,1782279561,1395348236,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2022,city_only,288921,147981253,124502164,1943985884,1861266564,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2022,fisc,288921,147981253,124502164,1943985884,1861266564,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2023,city_only,287520,153006643,121376568,1721586379,1635106114,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anchorage,AK,2023,fisc,287520,153006643,121376568,1721586379,1635106114,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2012,city_only,30750,6192939,5895897,39651910,39651910,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2012,fisc,30750,6192939,7939279,135593113,132493168,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2017,city_only,32060,6650963,8101961,45015993,44944036,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2017,fisc,32060,6650963,10509801,155648736,151591824,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2022,city_only,32180,7074151,9033080,51150983,50390035,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2022,fisc,32180,7074151,12168047,179150524,165930071,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2023,city_only,32005,7535897,8433958,58067952,57480020,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fairbanks,AK,2023,fisc,32005,7535897,12359691,189737802,172511431,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Birmingham,AL,2012,city_only,211554,78166650,56855574,672001098,473657765,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Birmingham,AL,2012,fisc,211554,87724674,57729122,1304564987,1098960681,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Birmingham,AL,2017,city_only,211512,98431530,63478800,723898571,531449268,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Birmingham,AL,2017,fisc,211512,111320583,65156503,1291522263,1091397380,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
