cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00000,United States,all,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
00000,United States,housing,100.424,100.455,100.391,100.399,100.366,100.37,100.386,100.419,100.389,100.43,100.422,100.398,100.615,100.595,100.594,100.574,100.629
00999,United States (Nonmetropolitan Portion) *,all,86.648,87.025,88.806,88.625,88.801,89.044,88.904,88.694,87.9,87.557,89.303,89.367,88.321,88.888,88.574,88.347,88.699
00999,United States (Nonmetropolitan Portion) *,housing,61.878,63.403,63.982,64.538,63.973,63.655,63.196,63.106,62.136,61.688,61.382,61.062,59.481,59.906,59.519,58.886,59.852
10180,"Abilene, TX (Metropolitan Statistical Area)",all,92.197,89.43,93.042,92.515,94.103,92.538,94.59,92.881,93.297,93.741,92.266,92.419,90.292,91.675,91.526,90.394,90.364
10180,"Abilene, TX (Metropolitan Statistical Area)",housing,69.649,63.982,72.237,70.347,74.573,69.941,76.866,69.747,70.996,76.717,76.751,75.659,66.34,71.042,75.389,73.631,73.791
10420,"Akron, OH (Metropolitan Statistical Area)",all,92.502,95.176,93.197,94.033,95.484,95.233,94.917,95.522,95.167,95.311,94.307,94.702,93.519,93.528,92.121,92.924,93.37
10420,"Akron, OH (Metropolitan Statistical Area)",housing,84.9,82.793,80.822,80.452,84.139,83.096,77.734,83.327,82.327,82.899,81.407,80.861,81.774,80.339,76.581,77.456,76.785
10500,"Albany, GA (Metropolitan Statistical Area)",all,86.48,85.633,87.302,87.739,87.412,88.11,88.461,88.027,89.308,87.259,86.476,84.16,83.826,89.32,86.12,86.491,87.669
10500,"Albany, GA (Metropolitan Statistical Area)",housing,50.703,53.215,52.874,53.791,52.157,54.823,53.775,52.893,54.081,51.985,51.303,47.982,49.984,56.503,50.375,50.046,54.626
10540,"Albany, OR (Metropolitan Statistical Area)",all,99.323,99.992,96.989,96.234,96.594,96.861,98.758,98.732,98.906,98.794,103.223,102.982,102.697,101.934,104.648,104.74,102.1
