city,state,fiscal_year,fy_end_date,framing,police_usd,fire_usd,public_safety_usd,denominator_usd,denominator_label,pensions_in_line,fire_includes_ems,actual_or_adopted,source_url,page,retrieved
Houston,TX,2022,2022-06-30,acfr_statement_of_activities_governmental,,,1205824000,2896148000,total governmental activities expenses,yes,yes,actual,https://www.houstontx.gov/controller/acfr/acfr2022.pdf,PDF p.46 (printed 18),2026-09-14
Houston,TX,2022,2022-06-30,acfr_general_fund_by_function,,,1536217000,2272963000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.houstontx.gov/controller/acfr/acfr2022.pdf,PDF p.50 (printed 22),2026-09-14
Houston,TX,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,1626241000,4018653000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.houstontx.gov/controller/acfr/acfr2022.pdf,PDF p.51 (printed 23),2026-09-14
Houston,TX,2022,2022-06-30,general_fund_budgetary_by_department,954187000,537300000,1491487000,2129417000,"General Operating Fund total expenditures, budgetary basis",yes,yes,actual,https://www.houstontx.gov/controller/acfr/acfr2022.pdf,PDF p.172-174 (printed 142-144),2026-09-14
San Antonio,TX,2022,2021-09-30,acfr_statement_of_activities_governmental,,,834517000,2288186000,total governmental activities expenses,yes,yes,actual,https://www.sanantonio.gov/Portals/0/Files/Finance/FY2021-ComprehensiveAnnualFinancialReport.pdf,PDF p.53 (printed 15),2026-09-14
San Antonio,TX,2022,2021-09-30,acfr_general_fund_by_function,,,806554000,1174620000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.sanantonio.gov/Portals/0/Files/Finance/FY2021-ComprehensiveAnnualFinancialReport.pdf,PDF p.56 (printed 18),2026-09-14
San Antonio,TX,2022,2021-09-30,acfr_all_governmental_funds_by_function,,,846099000,2685730000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.sanantonio.gov/Portals/0/Files/Finance/FY2021-ComprehensiveAnnualFinancialReport.pdf,PDF p.56 (printed 18),2026-09-14
San Antonio,TX,2022,2021-09-30,general_fund_budgetary_by_department,479435000,331762000,811197000,1216504000,"General Fund total expenditures, budgetary basis",yes,yes,actual,https://www.sanantonio.gov/Portals/0/Files/Finance/FY2021-ComprehensiveAnnualFinancialReport.pdf,PDF p.358-360 (printed 266-268),2026-09-14
Dallas,TX,2022,2021-09-30,acfr_statement_of_activities_governmental,,,306796000,1451153000,total governmental activities expenses,yes,yes,actual,https://dallascityhall.com/departments/budget/financialtransparency/AuditedFinancials/afr_fy2021.pdf,PDF p.60 (printed 16),2026-09-14
Dallas,TX,2022,2021-09-30,acfr_general_fund_by_function,,,849288000,1378311000,General Fund total expenditures (GAAP),yes,yes,actual,https://dallascityhall.com/departments/budget/financialtransparency/AuditedFinancials/afr_fy2021.pdf,PDF p.64 (printed 20),2026-09-14
Dallas,TX,2022,2021-09-30,acfr_all_governmental_funds_by_function,,,897953000,2636600000,total governmental funds expenditures (GAAP),yes,yes,actual,https://dallascityhall.com/departments/budget/financialtransparency/AuditedFinancials/afr_fy2021.pdf,PDF p.64 (printed 20),2026-09-14
Dallas,TX,2022,2021-09-30,general_fund_budgetary_by_department,526602000,324067000,866072000,1477706000,"General Fund total expenditures, non-GAAP budgetary basis",yes,yes,actual,https://dallascityhall.com/departments/budget/financialtransparency/AuditedFinancials/afr_fy2021.pdf,PDF p.66-67 (printed 22-23),2026-09-14
Austin,TX,2022,2021-09-30,acfr_statement_of_activities_governmental,,,853434000,2113494000,total governmental activities expenses,yes,no,actual,https://austin.widen.net/content/hp0lghlmvz/original/annual_comprehensive_financial_report_2021.pdf,"PDF p.48 (printed 20, Exhibit A-2)",2026-09-14
Austin,TX,2022,2021-09-30,acfr_general_fund_by_function,,,619373000,1139244000,General Fund total expenditures (GAAP),yes,no,actual,https://austin.widen.net/content/hp0lghlmvz/original/annual_comprehensive_financial_report_2021.pdf,"PDF p.52 (printed 24, Exhibit B-2)",2026-09-14
Austin,TX,2022,2021-09-30,acfr_all_governmental_funds_by_function,,,640385000,2096506000,total governmental funds expenditures (GAAP),yes,no,actual,https://austin.widen.net/content/hp0lghlmvz/original/annual_comprehensive_financial_report_2021.pdf,"PDF p.52 (printed 24, Exhibit B-2)",2026-09-14
Austin,TX,2022,2021-09-30,general_fund_by_department_gaap_actual,314340000,189247000,619373000,1139244000,General Fund total expenditures (GAAP),yes,no,actual,https://austin.widen.net/content/hp0lghlmvz/original/annual_comprehensive_financial_report_2021.pdf,"PDF p.168 (printed 134, Exhibit E-2)",2026-09-14
Austin,TX,2022,2021-09-30,general_fund_by_department_budget_basis,384835000,212580000,725620000,,not captured - budget-basis General Fund total not extracted,yes,no,actual,https://austin.widen.net/content/hp0lghlmvz/original/annual_comprehensive_financial_report_2021.pdf,"PDF p.168 (printed 134, Exhibit E-2)",2026-09-14
Fort Worth,TX,2022,2021-09-30,acfr_statement_of_activities_governmental_10yr_table,,,812332000,1503522000,total governmental activities expenses,yes,no,actual,https://www.fortworthtexas.gov/files/assets/public/v/2/finance/fy2022-annual-comprehensive-financial-report.pdf,"FY2022 ACFR PDF p.205-206 (Table 2, printed 176-177), FY2021 column",2026-09-14
Fort Worth,TX,2022,2021-09-30,acfr_all_governmental_funds_by_function_10yr_table,,,545069000,1435678000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.fortworthtexas.gov/files/assets/public/v/2/finance/fy2022-annual-comprehensive-financial-report.pdf,"FY2022 ACFR PDF p.211-212 (Table 4, printed 182-183), FY2021 column",2026-09-14
Fort Worth,TX,2022,2021-09-30,general_fund_adopted_by_department,272987345,169139998,442127343,782064036,General Fund total adopted expenses,yes,no,adopted,https://www.fortworthtexas.gov/files/assets/public/v/1/the-fwlab/documents/budget-analysis/fy2021-budget/fy2021.pdf,FY2021 Adopted Budget PDF p.68 (printed 68),2026-09-14
El Paso,TX,2022,2021-08-31,acfr_statement_of_activities_governmental,,,303382283,687412817,total governmental activities expenses,yes,yes,actual,https://www.elpasotexas.gov/assets/Documents/CoEP/Office-of-the-Comptroller/Fiscal-Reports/Financial-Reports/Previous-Cafrs/FY-2021-ACFR.pdf,PDF p.57 (printed 25),2026-09-14
El Paso,TX,2022,2021-08-31,acfr_general_fund_by_function,,,273071739,415739917,General Fund total expenditures (GAAP),yes,yes,actual,https://www.elpasotexas.gov/assets/Documents/CoEP/Office-of-the-Comptroller/Fiscal-Reports/Financial-Reports/Previous-Cafrs/FY-2021-ACFR.pdf,PDF p.60 (printed 28),2026-09-14
El Paso,TX,2022,2021-08-31,acfr_all_governmental_funds_by_function,,,328153721,891107549,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.elpasotexas.gov/assets/Documents/CoEP/Office-of-the-Comptroller/Fiscal-Reports/Financial-Reports/Previous-Cafrs/FY-2021-ACFR.pdf,PDF p.60 (printed 28),2026-09-14
El Paso,TX,2022,2021-08-31,general_fund_budgetary_by_department,150079146,125878771,275957917,451864615,"General Fund total charges to appropriations, budgetary basis",yes,yes,actual,https://www.elpasotexas.gov/assets/Documents/CoEP/Office-of-the-Comptroller/Fiscal-Reports/Financial-Reports/Previous-Cafrs/FY-2021-ACFR.pdf,PDF p.170 (printed 138),2026-09-14
New York,NY,2022,2022-06-30,acfr_statement_of_activities_governmental,,,21422599000,97116722000,total governmental activities expenses,yes,yes,actual,https://comptroller.nyc.gov/wp-content/uploads/documents/ACFR-FY-2022.pdf,PDF p.76 (printed 42),2026-09-14
New York,NY,2022,2022-06-30,acfr_general_fund_by_function,,,11936786000,98933172000,General Fund total expenditures (GAAP),no,yes,actual,https://comptroller.nyc.gov/wp-content/uploads/documents/ACFR-FY-2022.pdf,PDF p.82 (printed 48),2026-09-14
New York,NY,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,12528342000,120615550000,total governmental funds expenditures (GAAP),no,yes,actual,https://comptroller.nyc.gov/wp-content/uploads/documents/ACFR-FY-2022.pdf,PDF p.82 (printed 48),2026-09-14
New York,NY,2022,2022-06-30,general_fund_by_agency,5617677000,2475973000,11936786000,98933172000,General Fund total expenditures (GAAP),no,yes,actual,https://comptroller.nyc.gov/wp-content/uploads/documents/ACFR-FY-2022.pdf,"PDF p.452 (printed 418), Ten Year Trend, FY2022 column",2026-09-14
Los Angeles,CA,2022,2022-06-30,acfr_statement_of_activities_governmental,,,2624309000,7779395000,total governmental activities expenses,yes,yes,actual,https://controller.lacity.gov/acfr22.pdf,PDF p.57 (printed 28),2026-09-14
Los Angeles,CA,2022,2022-06-30,acfr_general_fund_by_function,,,3414251000,5760833000,General Fund total expenditures (GAAP),yes,yes,actual,https://controller.lacity.gov/acfr22.pdf,PDF p.61 (printed 32),2026-09-14
Los Angeles,CA,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,3844946000,9695563000,total governmental funds expenditures (GAAP),yes,yes,actual,https://controller.lacity.gov/acfr22.pdf,PDF p.62 (printed 33),2026-09-14
Los Angeles,CA,2022,2022-06-30,general_fund_budgetary_by_department,1682653000,746979000,2564905000,7999008000,"General Fund grand total expenditures, non-GAAP budgetary basis (includes $2,529,043k transfers to other funds)",no,yes,actual,https://controller.lacity.gov/acfr22.pdf,PDF p.261 (printed 235),2026-09-14
Chicago,IL,2022,2021-12-31,acfr_statement_of_activities_governmental,,,4534257000,9003930000,total governmental activities expenses,yes,yes,actual,https://www.chicago.gov/content/dam/city/depts/fin/supp_info/CAFR/2021CAFR/ACFR_2021.pdf,PDF p.34 (Exhibit 2),2026-09-14
Chicago,IL,2022,2021-12-31,acfr_general_fund_by_function,,,2372033000,4683948000,General Fund total expenditures (GAAP),no,yes,actual,https://www.chicago.gov/content/dam/city/depts/fin/supp_info/CAFR/2021CAFR/ACFR_2021.pdf,PDF p.38-39 (Exhibit 4),2026-09-14
Chicago,IL,2022,2021-12-31,acfr_all_governmental_funds_by_function,,,2565257000,9613478000,total governmental funds expenditures (GAAP),no,yes,actual,https://www.chicago.gov/content/dam/city/depts/fin/supp_info/CAFR/2021CAFR/ACFR_2021.pdf,PDF p.39 (Exhibit 4),2026-09-14
Chicago,IL,2022,2021-12-31,general_fund_budgetary_by_department,1620221941,653804926,2368569552,4971362842,"General Fund total expenditures and encumbrances, budgetary basis",no,yes,actual,https://www.chicago.gov/content/dam/city/depts/fin/supp_info/CAFR/2021CAFR/ACFR_2021.pdf,PDF p.138-143 (Schedule A-2),2026-09-14
Phoenix,AZ,2022,2022-06-30,acfr_statement_of_activities_governmental,,,1284353000,3183079000,total governmental activities expenses,yes,yes,actual,https://www.phoenix.gov/content/dam/phoenix/financesite/documents/acfr/final%20acfr%202022.pdf,"PDF p.48 (printed 24, Exhibit A-2)",2026-09-14
Phoenix,AZ,2022,2022-06-30,acfr_general_fund_by_function,,,951323000,1403406000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.phoenix.gov/content/dam/phoenix/financesite/documents/acfr/final%20acfr%202022.pdf,"PDF p.56 (printed 32, Exhibit B-3)",2026-09-14
Phoenix,AZ,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,1172208000,3568652000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.phoenix.gov/content/dam/phoenix/financesite/documents/acfr/final%20acfr%202022.pdf,"PDF p.56 (printed 32, Exhibit B-3)",2026-09-14
Phoenix,AZ,2022,2022-06-30,general_fund_budgetary_by_department,577697000,369879000,947598000,1361228000,"General Fund total expenditures, budget basis (excludes encumbrances)",yes,yes,actual,https://www.phoenix.gov/content/dam/phoenix/financesite/documents/acfr/final%20acfr%202022.pdf,"PDF p.179-180 (printed 155-156, Exhibit D-1)",2026-09-14
Philadelphia,PA,2022,2022-06-30,acfr_statement_of_activities_governmental,1219818000,471534000,,7791522000,total governmental activities expenses,yes,no,actual,https://www.phila.gov/media/20230322104950/annual-comp-financial-report-FY-2022.pdf,PDF p.42 (printed 22),2026-09-14
Philadelphia,PA,2022,2022-06-30,acfr_general_fund_by_function,1310837000,503288000,,4917205000,General Fund total expenditures (GAAP),yes,no,actual,https://www.phila.gov/media/20230322104950/annual-comp-financial-report-FY-2022.pdf,PDF p.44 (printed 24),2026-09-14
Philadelphia,PA,2022,2022-06-30,acfr_all_governmental_funds_by_function,1316825000,508397000,,8381245000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.phila.gov/media/20230322104950/annual-comp-financial-report-FY-2022.pdf,PDF p.44 (printed 24),2026-09-14
Philadelphia,PA,2022,2022-06-30,general_fund_budgetary_by_department,774948000,370064000,,5338527000,"General Fund total obligations, budgetary basis",no,no,actual,https://www.phila.gov/media/20230322104950/annual-comp-financial-report-FY-2022.pdf,PDF p.202-203 (printed 182-183),2026-09-14
Nashville-Davidson,TN,2022,2022-06-30,acfr_statement_of_activities_governmental,38343330,18911793,,2031263933,total governmental activities expenses (SEE NOTES - distorted by OPEB credit),yes,yes,actual,https://www.nashville.gov/sites/default/files/2023-06/2022_Annual_Comprehensive_Financial_Report_Final_Published_06062023.pdf,PDF p.46 (Exhibit B-4),2026-09-14
