city,state,fiscal_year,fy_end_date,framing,police_usd,fire_usd,public_safety_usd,denominator_usd,denominator_label,pensions_in_line,fire_includes_ems,actual_or_adopted,source_url,page,retrieved
San Diego,CA,2022,2022-06-30,acfr_statement_of_activities_governmental,532695000,305596000,,2226072000,total governmental activities expenses,yes,yes,actual,https://www.sandiego.gov/sites/default/files/acfr-2022.pdf,PDF p.56 (printed 52),2026-09-14
San Diego,CA,2022,2022-06-30,acfr_general_fund_by_function,592198000,327026000,,1877289000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.sandiego.gov/sites/default/files/acfr-2022.pdf,PDF p.60 (printed 56),2026-09-14
San Diego,CA,2022,2022-06-30,acfr_all_governmental_funds_by_function,602919000,341393000,,2581373000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.sandiego.gov/sites/default/files/acfr-2022.pdf,PDF p.60 (printed 56),2026-09-14
San Diego,CA,2022,2022-06-30,general_fund_budgetary_by_department,600763000,327701000,,1669283000,"General Fund total expenditures, budgetary basis (budgeted General Fund only; the GAAP General Fund folds in additional non-budgeted funds)",yes,yes,actual,https://www.sandiego.gov/sites/default/files/acfr-2022.pdf,PDF p.194 (printed 190),2026-09-14
San Jose,CA,2022,2022-06-30,acfr_statement_of_activities_governmental,,,614802000,1997994000,total governmental activities expenses,yes,no,actual,https://www.sanjoseca.gov/home/showpublisheddocument/92712/638055767362200000,PDF p.59 (printed 28),2026-09-14
San Jose,CA,2022,2022-06-30,acfr_general_fund_by_function,,,724909000,1219138000,General Fund total expenditures (GAAP),yes,no,actual,https://www.sanjoseca.gov/home/showpublisheddocument/92712/638055767362200000,PDF p.64 (printed 33),2026-09-14
San Jose,CA,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,727257000,2116941000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.sanjoseca.gov/home/showpublisheddocument/92712/638055767362200000,PDF p.64-65 (printed 33-34),2026-09-14
San Jose,CA,2022,2022-06-30,general_fund_budgetary_by_function,,,730982000,1289291000,"General Fund total expenditures, budgetary basis (includes encumbrances)",yes,no,actual,https://www.sanjoseca.gov/home/showpublisheddocument/92712/638055767362200000,PDF p.223 (printed 192),2026-09-14
San Jose,CA,2022,2022-06-30,general_fund_by_department_annual_report,486209322,269091701,,1606749398,"General Fund total expenditures incl. encumbrances, budget basis (City Manager's 2021-2022 Annual Report, Table D; departmental subtotal 1,101,885,452 + non-departmental 504,863,946)",yes,no,actual,https://www.sanjoseca.gov/home/showpublisheddocument/90025/638001720644200000,"PDF p.5 (printed 55, Table D)",2026-09-14
Columbus,OH,2022,2021-12-31,acfr_statement_of_activities_governmental,,,680449000,1385119000,total governmental activities expenses,yes,yes,actual,https://www.columbus.gov/files/sharedassets/city/v/1/finance/financial-reports/2021_acfr.pdf,PDF p.52 (printed 44),2026-09-14
Columbus,OH,2022,2021-12-31,acfr_general_fund_by_function,,,662740000,954434000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.columbus.gov/files/sharedassets/city/v/1/finance/financial-reports/2021_acfr.pdf,"PDF p.56 (printed 48, Exhibit 4)",2026-09-14
Columbus,OH,2022,2021-12-31,acfr_all_governmental_funds_by_function,,,673479000,1876394000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.columbus.gov/files/sharedassets/city/v/1/finance/financial-reports/2021_acfr.pdf,"PDF p.56 (printed 48, Exhibit 4)",2026-09-14
Columbus,OH,2022,2021-12-31,general_fund_budgetary_by_department,386375712,273109487,687075297,925286013,"General Fund total expenditures, budget basis (Exhibit A-1; includes 1,305,927 expenditures paid through county auditor)",yes,yes,actual,https://www.columbus.gov/files/sharedassets/city/v/1/finance/financial-reports/2021_acfr.pdf,"PDF p.154-156 (printed 146-148, Exhibit A-1); fund total also PDF p.141 (printed 133, Exhibit 10)",2026-09-14
