city,state,fiscal_year,police_budget_usd,city_budget_usd,budget_type,police_pct,police_per_capita_usd,police_employees,source_url,retrieved,police_dept_only_usd,other_police_agency_usd,police_employee_resident_ratio,city_budget_usd_basis,police_employees_basis
Albuquerque,NM,2020,211084000,659637500,city funds,0.32,367,1677,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/albuquerque-nm,2026-09-14,210057000,1027000,1 : 343,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Anchorage,AK,2020,133766426,495431207,city funds,0.27,445,630,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/anchorage-ak,2026-09-14,133766426,0,1 : 477,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Arlington,TX,2020,117847632,267835527,city funds,0.44,296,881,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/arlington-tx,2026-09-14,117847635,0,1 : 452,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Atlanta,GA,2020,248508775,828362583,city funds,0.30,412,2886,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/atlanta-ga,2026-09-14,248508775,0,1 : 209,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Austin,TX,2020,491265529,1228163822,city funds,0.40,451,3051,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/austin-tx,2026-09-14,491265529,0,1 : 357,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Baltimore,MD,2020,549046349,2111716727,city funds,0.26,840,3533,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/baltimore-md,2026-09-14,546176477,2869872,1 : 185,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Billings,MT,2020,27017423,42214723,city funds,0.64,247,182,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/billings-mt,2026-09-14,27017423,0,1 : 601,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Birmingham,AL,2020,92775797,441789510,city funds,0.21,443,1091,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/birmingham-al,2026-09-14,92775797,0,1 : 192,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Boise,ID,2020,70561456,243315366,city funds,0.29,306,410,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/boise-id,2026-09-14,70301739,259717,1 : 563,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Boston,MA,2020,431731291,2698320569,city funds,0.16,595,3169,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/boston-ma,2026-09-14,431731291,0,1 : 229,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Bridgeport,CT,2020,102312652,568403622,city funds,0.18,706,195,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/bridgeport-ct,2026-09-14,102312652,0,1 : 743,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Burlington,VT,2020,17926954,94352389,city funds,0.19,349,170,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/burlington-vt,2026-09-14,14712289,3214665,1 : 303,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Charleston,SC,2020,53445152,242932509,city funds,0.22,379,551,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/charleston-sc,2026-09-14,53445152,0,1 : 256,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Charleston,WV,2020,22489588,89958352,city funds,0.25,482,198,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/charleston-wv,2026-09-14,22489588,0,1 : 236,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Charlotte,NC,2020,285877585,733019449,city funds,0.39,327,2505,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/charlotte-nc,2026-09-14,285877585,0,1 : 349,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Cheyenne,WY,2020,14493787,55745335,city funds,0.26,342,126,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/cheyenne-wy,2026-09-14,14493787,0,1 : 337,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Chicago,IL,2020,1776930437,4802514695,city funds,0.37,611,15892,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/chicago-il,2026-09-14,1762078349,14852088,1 : 183,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Colorado Springs,CO,2020,140388709,412907968,city funds,0.34,239,1353,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/colorado-springs-co,2026-09-14,140388709,0,1 : 434,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Columbus,OH,2020,347780657,939947722,city funds,0.37,398,4008,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/columbus-oh,2026-09-14,347467765,312892,1 : 218,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Dallas,TX,2020,545974490,1516595806,city funds,0.36,379,4163,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/dallas-tx,2026-09-14,545974490,0,1 : 346,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Denver,CO,2020,277927093,1634865253,city funds,0.17,355,3608,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/denver-co,2026-09-14,256043663,21883430,1 : 217,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Des Moines,IA,2020,71546587,183452787,city funds,0.39,323,487,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/des-moines-ia,2026-09-14,71546587,0,1 : 455,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
