effective_date,action,scope,ad_valorem_change_pp,hts_note,source_url,confidence
2018-02-07,s201_solar,"Global ex certain FTA/GSP partners, ~$8.5B, crystalline silicon PV cells and modules",30,"HTS 8541.40.60; yr-1 30% over a 2.5 GW cell TRQ, stepping down to 15% by yr 4",https://www.govinfo.gov/content/pkg/FR-2018-01-25/html/2018-01592.htm,high
2018-02-07,s201_washers,"Global, ~$1.8B, large residential washers and covered parts",20,"HTS 8450.11/8450.20/8450.90; 20% in-quota on first 1.2M units, 50% over-quota in yr 1",https://ustr.gov/issue-areas/enforcement/section-201-investigations/section-201-imported-large-residential-washing-machines-washers,high
2018-03-23,s232_steel,"Global ex Canada/Mexico, ~$29B, steel mill products",25,"Proc 9705; HTS 7206-7306",https://www.govinfo.gov/content/pkg/FR-2018-03-15/html/2018-05478.htm,high
2018-03-23,s232_aluminum,"Global ex Canada/Mexico, ~$17B, aluminum articles",10,"Proc 9704; HTS 7601, 7604-7609, 7616.99.51",https://www.govinfo.gov/content/pkg/FR-2018-03-15/html/2018-05477.htm,high
2018-06-01,s232_metals_eu_can_mex,"EU, Canada, Mexico exemptions expire, ~$23B combined",25,"Proc 9758/9759; steel +25pp, aluminum +10pp; same HTS as March 2018",https://www.usitc.gov/research_and_analysis/trade_shifts_2018/special_topic.htm,high
2018-07-06,s301_list1,"China, $34B, 818 subheadings, machinery/electronics/vehicles/aircraft/instruments",25,"HTS 84, 85, 87, 88, 90",https://www.govinfo.gov/content/pkg/FR-2018-06-20/html/2018-13248.htm,high
2018-08-23,s301_list2,"China, $16B, 279 subheadings, plastics/chemicals/semiconductors/railway",25,"HTS 27, 34, 38, 39, 70, 73, 76, 84, 85, 86, 87, 90",https://www.govinfo.gov/content/pkg/FR-2018-08-16/html/2018-17709.htm,high
2018-09-24,s301_list3,"China, $200B, 5745 subheadings, broad intermediate and consumer goods",10,"HTS 03, 05, 25, 28-29, 38-40, 42, 44, 48, 68-70, 72-76, 82-85, 87, 94",https://www.govinfo.gov/content/pkg/FR-2018-09-21/html/2018-20610.htm,high
2019-05-10,s301_list3_increase,"China, $200B, List 3 rate increase",15,"10% -> 25%; two-prong test - goods exported before May 10 kept 10% until June 15 2019",https://www.govinfo.gov/content/pkg/FR-2019-05-09/html/2019-09681.htm,high
2019-09-01,s301_list4a,"China, ~$120B, Annex A consumer goods",15,"HTS 61, 62, 64 apparel and footwear, 42, 91, parts of 85; List 4B (~$160B, Dec 15 2019) was suspended and never took effect",https://www.govinfo.gov/content/pkg/FR-2019-08-30/html/2019-18838.htm,high
